Rep Step Lambda Alpha F1 F2 D1_2 Ln_Like Est_Ln_P(D)
r1 100 1.00 0.676 0.197 0.258 0.076 - -
r1 200 1.00 0.092 0.195 0.205 0.067 - -
r1 300 1.00 0.034 0.183 0.186 0.064 - -
r1 400 1.00 0.017 0.197 0.188 0.067 - -
r1 500 1.00 0.058 0.172 0.200 0.066 - -
r1 600 1.00 0.030 0.174 0.194 0.066 - -
r1 700 1.00 0.016 0.182 0.195 0.069 - -
r1 800 1.00 0.022 0.190 0.178 0.067 - -
r1 900 1.00 0.019 0.154 0.220 0.067 - -
r1 1000 1.00 0.018 0.169 0.159 0.063 - -
r1 1100 1.00 0.069 0.200 0.175 0.064 -16004 0
r1 1200 1.00 0.026 0.161 0.191 0.062 -16036 0
r1 1300 1.00 0.046 0.153 0.206 0.061 -16054 0
r1 1400 1.00 0.033 0.189 0.210 0.066 -16031 0
r1 1500 1.00 0.041 0.152 0.190 0.063 -15997 0
r1 1600 1.00 0.030 0.175 0.190 0.061 -15989 0
r1 1700 1.00 0.024 0.184 0.195 0.066 -16005 0
r1 1800 1.00 0.029 0.201 0.174 0.065 -15972 0
r1 1900 1.00 0.040 0.145 0.218 0.065 -15996 0
r1 2000 1.00 0.021 0.211 0.198 0.068 -15973 0
r1 2100 1.00 0.015 0.167 0.166 0.065 -15983 0
r1 2200 1.00 0.049 0.197 0.180 0.065 -15968 0
r1 2300 1.00 0.038 0.166 0.181 0.066 -15989 0
r1 2400 1.00 0.022 0.172 0.196 0.064 -16025 0
r1 2500 1.00 0.036 0.215 0.162 0.068 -15936 0
r1 2600 1.00 0.024 0.175 0.175 0.064 -16007 0
r1 2700 1.00 0.028 0.218 0.170 0.065 -16026 0
r1 2800 1.00 0.022 0.190 0.197 0.069 -16007 0
r1 2900 1.00 0.035 0.169 0.146 0.062 -16022 0
r1 3000 1.00 0.022 0.183 0.195 0.064 -16018 0
r2 100 1.00 0.787 0.012 0.296 0.066 - -
r2 200 1.00 0.116 0.025 0.247 0.061 - -
r2 300 1.00 0.024 0.116 0.201 0.062 - -
r2 400 1.00 0.031 0.182 0.163 0.063 - -
r2 500 1.00 0.068 0.171 0.180 0.065 - -
r2 600 1.00 0.022 0.146 0.178 0.065 - -
r2 700 1.00 0.023 0.211 0.165 0.063 - -
r2 800 1.00 0.027 0.211 0.184 0.067 - -
r2 900 1.00 0.032 0.180 0.204 0.067 - -
r2 1000 1.00 0.024 0.171 0.196 0.067 - -
r2 1100 1.00 0.027 0.180 0.160 0.065 -16011 0
r2 1200 1.00 0.025 0.180 0.160 0.065 -16024 0
r2 1300 1.00 0.028 0.182 0.172 0.065 -16002 0
r2 1400 1.00 0.020 0.186 0.191 0.066 -15997 0
r2 1500 1.00 0.020 0.186 0.189 0.064 -16001 0
r2 1600 1.00 0.032 0.177 0.176 0.066 -15974 0
r2 1700 1.00 0.025 0.193 0.153 0.060 -16010 0
r2 1800 1.00 0.028 0.211 0.166 0.062 -16001 0
r2 1900 1.00 0.039 0.170 0.169 0.066 -16038 0
r2 2000 1.00 0.031 0.199 0.177 0.066 -16007 0
r2 2100 1.00 0.023 0.179 0.194 0.064 -15990 0
r2 2200 1.00 0.023 0.147 0.195 0.065 -16071 0
r2 2300 1.00 0.040 0.195 0.141 0.066 -16042 0
r2 2400 1.00 0.020 0.169 0.192 0.065 -16028 0
r2 2500 1.00 0.026 0.209 0.182 0.064 -16004 0
r2 2600 1.00 0.027 0.192 0.184 0.066 -16021 0
r2 2700 1.00 0.020 0.172 0.182 0.063 -15983 0
r2 2800 1.00 0.020 0.186 0.156 0.063 -16067 0
r2 2900 1.00 0.094 0.187 0.214 0.068 -16019 0
r2 3000 1.00 0.017 0.185 0.165 0.063 -16006 0
r3 100 1.00 0.542 0.286 0.010 0.063 - -
r3 200 1.00 0.032 0.240 0.010 0.056 - -
r3 300 1.00 0.035 0.249 0.018 0.057 - -
r3 400 1.00 0.026 0.235 0.036 0.059 - -
r3 500 1.00 0.018 0.187 0.187 0.065 - -
r3 600 1.00 0.022 0.200 0.201 0.065 - -
r3 700 1.00 0.055 0.185 0.222 0.066 - -
r3 800 1.00 0.023 0.186 0.188 0.067 - -
r3 900 1.00 0.022 0.162 0.187 0.062 - -
r3 1000 1.00 0.021 0.169 0.174 0.064 - -
r3 1100 1.00 0.030 0.168 0.182 0.064 -16038 0
r3 1200 1.00 0.016 0.177 0.204 0.069 -16011 0
r3 1300 1.00 0.026 0.174 0.233 0.071 -15974 0
r3 1400 1.00 0.027 0.138 0.190 0.063 -15996 0
r3 1500 1.00 0.019 0.206 0.178 0.067 -16011 0
r3 1600 1.00 0.036 0.189 0.193 0.065 -15997 0
r3 1700 1.00 0.034 0.180 0.197 0.068 -15995 0
r3 1800 1.00 0.018 0.168 0.187 0.065 -16018 0
r3 1900 1.00 0.043 0.215 0.191 0.065 -15999 0
r3 2000 1.00 0.023 0.170 0.190 0.064 -16003 0
r3 2100 1.00 0.022 0.183 0.173 0.066 -15995 0
r3 2200 1.00 0.025 0.191 0.186 0.066 -15993 0
r3 2300 1.00 0.048 0.159 0.203 0.066 -16002 0
r3 2400 1.00 0.026 0.160 0.210 0.064 -16025 0
r3 2500 1.00 0.031 0.137 0.187 0.061 -16023 0
r3 2600 1.00 0.027 0.175 0.191 0.065 -16015 0
r3 2700 1.00 0.085 0.162 0.243 0.064 -16013 0
r3 2800 1.00 0.081 0.195 0.199 0.061 -16013 0
r3 2900 1.00 0.028 0.213 0.177 0.066 -15993 0
r3 3000 1.00 0.030 0.156 0.203 0.064 -16021 0
r4 100 1.00 0.164 0.008 0.260 0.062 - -
r4 200 1.00 0.076 0.008 0.244 0.057 - -
r4 300 1.00 0.019 0.028 0.247 0.060 - -
r4 400 1.00 0.027 0.195 0.214 0.065 - -
r4 500 1.00 0.022 0.169 0.171 0.063 - -
r4 600 1.00 0.029 0.204 0.190 0.064 - -
r4 700 1.00 0.028 0.148 0.206 0.065 - -
r4 800 1.00 0.029 0.188 0.178 0.069 - -
r4 900 1.00 0.022 0.196 0.189 0.067 - -
r4 1000 1.00 0.049 0.176 0.193 0.066 - -
r4 1100 1.00 0.024 0.210 0.176 0.066 -16000 0
r4 1200 1.00 0.028 0.169 0.156 0.062 -16003 0
r4 1300 1.00 0.036 0.174 0.211 0.063 -16020 0
r4 1400 1.00 0.016 0.173 0.182 0.065 -16008 0
r4 1500 1.00 0.034 0.180 0.164 0.069 -16002 0
r4 1600 1.00 0.034 0.193 0.202 0.064 -16009 0
r4 1700 1.00 0.025 0.213 0.144 0.065 -16013 0
r4 1800 1.00 0.021 0.164 0.169 0.064 -16000 0
r4 1900 1.00 0.019 0.164 0.151 0.060 -16027 0
r4 2000 1.00 0.023 0.207 0.185 0.063 -15971 0
r4 2100 1.00 0.050 0.181 0.202 0.069 -15989 0
r4 2200 1.00 0.032 0.194 0.173 0.066 -15996 0
r4 2300 1.00 0.023 0.183 0.191 0.066 -15966 0
r4 2400 1.00 0.028 0.184 0.171 0.067 -16023 0
r4 2500 1.00 0.023 0.173 0.167 0.062 -16035 0
r4 2600 1.00 0.026 0.189 0.175 0.065 -16008 0
r4 2700 1.00 0.041 0.170 0.196 0.066 -16001 0
r4 2800 1.00 0.018 0.192 0.193 0.068 -16001 0
r4 2900 1.00 0.048 0.172 0.205 0.063 -16030 0
r4 3000 1.00 0.047 0.217 0.210 0.069 -15966 0
r5 100 1.00 0.618 0.244 0.202 0.078 - -
r5 200 1.00 0.174 0.216 0.221 0.076 - -
