Rep Step Lambda Alpha F1 F2 D1_2 Ln_Like Est_Ln_P(D)
r1 100 1.00 0.097 0.228 0.121 0.068 - -
r1 200 1.00 0.022 0.175 0.181 0.061 - -
r1 300 1.00 0.019 0.205 0.185 0.066 - -
r1 400 1.00 0.020 0.162 0.194 0.067 - -
r1 500 1.00 0.032 0.190 0.173 0.064 - -
r1 600 1.00 0.023 0.207 0.173 0.070 - -
r1 700 1.00 0.020 0.225 0.156 0.066 - -
r1 800 1.00 0.024 0.177 0.193 0.064 - -
r1 900 1.00 0.024 0.179 0.182 0.062 - -
r1 1000 1.00 0.027 0.187 0.192 0.064 - -
r1 1100 1.00 0.037 0.177 0.202 0.066 -16001 0
r1 1200 1.00 0.016 0.198 0.165 0.060 -15994 0
r1 1300 1.00 0.018 0.175 0.185 0.064 -15982 0
r1 1400 1.00 0.026 0.207 0.173 0.067 -16014 0
r1 1500 1.00 0.015 0.202 0.183 0.066 -15952 0
r1 1600 1.00 0.031 0.191 0.153 0.065 -16035 0
r1 1700 1.00 0.020 0.179 0.189 0.068 -15971 0
r1 1800 1.00 0.030 0.196 0.162 0.061 -16028 0
r1 1900 1.00 0.035 0.213 0.168 0.066 -15995 0
r1 2000 1.00 0.029 0.160 0.173 0.064 -16026 0
r1 2100 1.00 0.024 0.150 0.220 0.063 -16022 0
r1 2200 1.00 0.031 0.164 0.194 0.066 -15997 0
r1 2300 1.00 0.017 0.167 0.163 0.065 -16006 0
r1 2400 1.00 0.029 0.203 0.156 0.067 -16007 0
r1 2500 1.00 0.017 0.181 0.193 0.063 -15986 0
r1 2600 1.00 0.028 0.198 0.192 0.063 -16029 0
r1 2700 1.00 0.025 0.218 0.210 0.073 -16031 0
r1 2800 1.00 0.038 0.167 0.206 0.064 -16011 0
r1 2900 1.00 0.020 0.193 0.183 0.062 -15968 0
r1 3000 1.00 0.021 0.217 0.163 0.065 -16037 0
r2 100 1.00 0.557 0.239 0.211 0.069 - -
r2 200 1.00 0.167 0.184 0.216 0.070 - -
r2 300 1.00 0.015 0.187 0.184 0.067 - -
r2 400 1.00 0.023 0.183 0.174 0.066 - -
r2 500 1.00 0.033 0.207 0.188 0.068 - -
r2 600 1.00 0.021 0.176 0.195 0.064 - -
r2 700 1.00 0.016 0.185 0.180 0.064 - -
r2 800 1.00 0.030 0.191 0.171 0.066 - -
r2 900 1.00 0.028 0.193 0.182 0.063 - -
r2 1000 1.00 0.031 0.211 0.175 0.066 - -
r2 1100 1.00 0.036 0.167 0.198 0.065 -16033 0
r2 1200 1.00 0.026 0.204 0.161 0.066 -16032 0
r2 1300 1.00 0.025 0.207 0.186 0.065 -15991 0
r2 1400 1.00 0.048 0.167 0.174 0.067 -16001 0
r2 1500 1.00 0.042 0.219 0.164 0.067 -16019 0
r2 1600 1.00 0.039 0.189 0.153 0.064 -15997 0
